Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
15:03:07,1.13E-06,0.00026157,-0.00024392,0.02848019,0.01634514,-0.02100397,34.01356124,0.00034107,0.00018864,-0.00012413,-0.04486224,-0.00449261,0.01841962,34.81864929
15:03:08,1.36E-05,0.00029519,-0.00023781,0.02969065,0.01655451,-0.02036952,34.03702926,0.0003229,0.00019565,-0.00013216,-0.04612946,-0.00370848,0.0187917,34.82936859
15:03:09,2.06E-05,0.00028257,-0.00022751,0.02852767,0.01622652,-0.02128822,34.03876876,0.00035316,0.00021225,-0.00012311,-0.04404792,-0.00410418,0.0186565,34.84206008
15:03:10,3.58E-05,0.00029758,-0.00027847,0.02709456,0.01658084,-0.02066202,34.03967285,0.00024349,0.00021067,-0.00016713,-0.04547544,-0.00395016,0.01822485,34.85082626
15:03:11,-2.31E-05,0.00029182,-0.00020817,0.02681155,0.01618596,-0.02072096,34.04573822,0.00029504,0.00018231,-0.00013742,-0.04514526,-0.00350213,0.01847268,34.84922409
15:03:12,7.28E-05,0.00030926,-0.00023292,0.02835039,0.01664317,-0.0205112,34.0422554,0.00028775,0.00018009,-0.0001383,-0.04540325,-0.00392078,0.01824262,34.86141967
15:03:13,4.82E-05,0.00030398,-0.00016304,0.02770283,0.0166426,-0.02077708,34.06266784,0.00029023,0.00022088,-0.00014839,-0.04530602,-0.00375561,0.01854911,34.86616897
15:03:14,4.15E-05,0.00032705,-0.00028233,0.02820279,0.01601155,-0.02046986,34.06629562,0.00030883,0.00014478,-0.00014098,-0.04393311,-0.00297643,0.01814236,34.87592697
15:03:15,1.88E-05,0.00030317,-0.0002743,0.028067,0.01701516,-0.02111342,34.07852554,0.00032957,0.00014939,-0.00013222,-0.04522613,-0.00465305,0.0182486,34.88638687
15:03:16,2.06E-05,0.00033923,-0.00031795,0.02912386,0.01736339,-0.02149725,34.08957672,0.00031797,0.00016561,-0.00012979,-0.04826087,-0.004287,0.01824258,34.89439773
15:03:17,3.96E-05,0.00032035,-0.0002718,0.02733631,0.0166045,-0.0204556,34.10242462,0.00030211,0.00020047,-0.00012746,-0.04465587,-0.00372614,0.01822497,34.90608215
15:03:18,1.45E-05,0.00026042,-0.00025453,0.02730093,0.01751244,-0.02099808,34.10908126,0.00033343,0.00016332,-0.00012639,-0.04458512,-0.00435136,0.01856688,34.92082214
15:03:19,7.16E-05,0.00028002,-0.00030652,0.0282439,0.01646903,-0.02165484,34.11216354,0.0002976,0.0001965,-0.00014764,-0.04473373,-0.00477241,0.01821893,34.91714477
15:03:20,5.28E-05,0.00028697,-0.00023397,0.02851557,0.01687577,-0.02153471,34.12525177,0.00028583,0.00015806,-0.0001481,-0.04424903,-0.00370249,0.01797737,34.92183303
15:03:21,3.84E-05,0.00030565,-0.0002621,0.02957414,0.01649851,-0.02103997,34.12753295,0.00028276,0.00016567,-0.00015642,-0.04494657,-0.00441764,0.01823667,34.9278717
15:03:22,5.16E-05,0.00031468,-0.00027879,0.02747783,0.01767767,-0.02060307,34.15203857,0.00033236,0.00014622,-0.00014323,-0.04480917,-0.00495283,0.01768839,34.9591484
